Business License,Business Name,Address,City,State,Zip Code,Location,Last Inspection Date
09FOOD-0007,Oakton & Dodge Shell,500 DODGE AVE,Evanston,IL,60202,"500 DODGE AVE
Evanston, IL 60202
(42.026994, -87.699465)",10/13/2016
09FOOD-0416,Unitarian Church of Evanston,1330 RIDGE AVE,Evanston,IL,60201,"1330 RIDGE AVE
Evanston, IL 60201
(42.042288, -87.688422)",10/12/2016
11FOOD-0003,Shop Now Food and Grocery,1942 MAPLE AVE,Evanston,IL,60201,"1942 MAPLE AVE
Evanston, IL 60201
(42.053481, -87.684718)",09/22/2016
09FOOD-0414,St. Luke's Episcopal Church,939 HINMAN AVE,Evanston,IL,60202,"939 HINMAN AVE
Evanston, IL 60202
(42.035453, -87.678002)",09/20/2016
13FOOD-0006,Chicago - Main Newstand,860 CHICAGO AVE,Evanston,IL,60202,"860 CHICAGO AVE
Evanston, IL 60202
(42.033834, -87.679367)",10/13/2016
09FOOD-0365,Delta Chi,619 COLFAX ST,Evanston,IL,60201,"619 COLFAX ST
Evanston, IL 60201
(42.060499, -87.678117)",03/18/2016
09FOOD-0159,Belgian Chocolatier Piron,509 MAIN ST A,Evanston,IL,60202,"509 MAIN ST A
Evanston, IL 60202
(42.033936, -87.678272)",10/18/2016
11FOOD-0022,Spex Mart Inc,1235 DODGE AVE,Evanston,IL,60202,"1235 DODGE AVE
Evanston, IL 60202
(42.04048, -87.699118)",10/18/2016
09FOOD-0402,Hillel,629 FOSTER ST,Evanston,IL,60201,"629 FOSTER ST
Evanston, IL 60201
(42.053861, -87.678962)",10/31/2016
09FOOD-0339,The Spice House,1941 CENTRAL ST,Evanston,IL,60201,"1941 CENTRAL ST
Evanston, IL 60201
(42.06433, -87.700672)",09/21/2016
13FOOD-0052,Orangetheory Fitness,2800 CENTRAL ST,Evanston,IL,60201,"2800 CENTRAL ST
Evanston, IL 60201
(42.06443, -87.713179)",10/21/2016
13FOOD-0018,Food 4 Less Fuel Center,2420 MAIN ST,Evanston,IL,60202,"2420 MAIN ST
Evanston, IL 60202
(42.03367, -87.708351)",04/22/2016
09FOOD-0201,Evanston Main Foods,835 MAIN ST,Evanston,IL,60202,"835 MAIN ST
Evanston, IL 60202
(42.033965, -87.68282)",09/20/2016
09FOOD-0379,E-Z Spuds,2223 WASHINGTON ST,Evanston,IL,60202,"2223 WASHINGTON ST
Evanston, IL 60202
(42.03196, -87.705468)",10/03/2016
09FOOD-0164,Evanston Gas & Food,101 RIDGE AVE,Evanston,IL,60202,"101 RIDGE AVE
Evanston, IL 60202
(42.019674, -87.684684)",10/06/2016
13FOOD-0021,New Lucky Main Pantry,510 MAIN ST,Evanston,IL,60202,"510 MAIN ST
Evanston, IL 60202
(42.033936, -87.678311)",10/18/2016
13FOOD-0020,Walsh Natural Health LLC,2116 1/2 CENTRAL ST,Evanston,IL,60201,"2116 1/2 CENTRAL ST
Evanston, IL 60201
(42.064349, -87.70294)",09/21/2016
11FOOD-0015,Evanston 1st Liquors,1019 DAVIS ST,Evanston,IL,60201,"1019 DAVIS ST
Evanston, IL 60201
(42.047063, -87.685817)",09/20/2016
12FOOD-0030,Planet Fitness,2410 MAIN ST,Evanston,IL,60202,"2410 MAIN ST
Evanston, IL 60202
(42.033663, -87.707526)",04/22/2016
09FOOD-0160,Delta Discount,800 MAIN ST,Evanston,IL,60202,"800 MAIN ST
Evanston, IL 60202
(42.033975, -87.682253)",09/20/2016
09FOOD-0157,Green Bay Car Wash,1950 GREEN BAY RD,Evanston,IL,60201,"1950 GREEN BAY RD
Evanston, IL 60201
(42.05382, -87.690209)",10/03/2016
09FOOD-0311,Walgreens #4218,900 DODGE AVE,Evanston,IL,60202,"900 DODGE AVE
Evanston, IL 60202
(42.034193, -87.699308)",10/13/2016
12FOOD-0011,GNC,812 DAVIS ST,Evanston,IL,60201,"812 DAVIS ST
Evanston, IL 60201
(42.046882, -87.682226)",10/24/2016
15FOOD-0042,Nicolet Football Center Nutrition Fueling Station,2707 ASHLAND AVE,Evanston,IL,60201,"2707 ASHLAND AVE
Evanston, IL 60201
(42.066824, -87.693843)",10/21/2016
09FOOD-0276,Willard Residential College,1865 SHERMAN AVE,Evanston,IL,60201,"1865 SHERMAN AVE
Evanston, IL 60201
(42.051766, -87.681778)",02/03/2016
09FOOD-0401,J & S Food Mart,701 HOWARD ST,Evanston,IL,60202,"701 HOWARD ST
Evanston, IL 60202
(42.019473, -87.68047)",10/11/2016
09FOOD-0180,Citgo,443 ASBURY AVE,Evanston,IL,60202,"443 ASBURY AVE
Evanston, IL 60202
(42.026439, -87.690107)",02/26/2016
09FOOD-0376,Allfresh Food Products,2156 GREEN BAY RD,Evanston,IL,60201,"2156 GREEN BAY RD
Evanston, IL 60201
(42.05745, -87.69305)",10/25/2016
10FOOD-0011,Citgo,1925 GREEN BAY RD,Evanston,IL,60201,"1925 GREEN BAY RD
Evanston, IL 60201
(42.053369, -87.689828)",10/12/2016
09FOOD-0197,Howard Marathon,555 HOWARD ST,Evanston,IL,60202,"555 HOWARD ST
Evanston, IL 60202
(42.019446, -87.677106)",10/11/2016
09FOOD-0212,CVS/Pharmacy #8760,3333 CENTRAL ST,Evanston,IL,60201,"3333 CENTRAL ST
Evanston, IL 60201
(42.064579, -87.72686)",10/05/2016
09FOOD-0012,Aldi,2211 OAKTON ST,Evanston,IL,60202,"2211 OAKTON ST
Evanston, IL 60202
(42.026498, -87.705239)",06/07/2016
12FOOD-0007,Mobil,140 CHICAGO AVE,Evanston,IL,60202,"140 CHICAGO AVE
Evanston, IL 60202
(42.020758, -87.676664)",05/16/2016
09FOOD-0327,CVS/Pharmacy #3901,1711 SHERMAN AVE,Evanston,IL,60201,"1711 SHERMAN AVE
Evanston, IL 60201
(42.04897, -87.681811)",10/21/2016
12FOOD-0022,Papa Romeo's Pizza,1168 DODGE AVE,Evanston,IL,60202,"1168 DODGE AVE
Evanston, IL 60202
(42.039639, -87.699249)",06/23/2016
09FOOD-0377,Bernard Food,1125 HARTREY AVE,Evanston,IL,60202,"1125 HARTREY AVE
Evanston, IL 60202
(42.038427, -87.703861)",10/24/2016
12FOOD-0028,Babylon Discount Food,1618 EMERSON ST,Evanston,IL,60201,"1618 EMERSON ST
Evanston, IL 60201
(42.052152, -87.694759)",11/01/2016
09FOOD-0153,Oakton Shell,2494 OAKTON ST,Evanston,IL,60202,"2494 OAKTON ST
Evanston, IL 60202
(42.026413, -87.708347)",11/01/2016
10FOOD-0039,"Few Spirits, LLC",918 CHICAGO AVE,Evanston,IL,60202,"918 CHICAGO AVE
Evanston, IL 60202
(42.034526, -87.679499)",11/03/2016
09FOOD-0396,First Church of God Christian Life Center,1524 SIMPSON ST,Evanston,IL,60201,"1524 SIMPSON ST
Evanston, IL 60201
(42.055728, -87.693729)",11/03/2016
13FOOD-0024,Coffee Speed Shop,"2000 GREENLEAF ST, SUITE #2",Evanston,IL,60202,"2000 GREENLEAF ST, SUITE #2
Evanston, IL 60202
(42.037457, -87.701523)",11/10/2016
11FOOD-0020,St. James Armenian Church,816 Clark ST,Evanston,IL,60201,"816 Clark ST
Evanston, IL 60201
(42.049915, -87.682733)",11/23/2016
12FOOD-0018,Ward Eight,629 HOWARD ST,Evanston,IL,60202,"629 HOWARD ST
Evanston, IL 60202
(42.01947, -87.679585)",11/28/2016
14FOOD-0047,Cohen Commons - Faculty Club & Kitchen,2145 SHERIDAN RD,Evanston,IL,60208,"2145 SHERIDAN RD
Evanston, IL 60208
(42.056691, -87.677158)",12/07/2016
13FOOD-0050,Delta Upsilon,2307 SHERIDAN RD,Evanston,IL,60208,"2307 SHERIDAN RD
Evanston, IL 60208
(42.059579, -87.677132)",12/08/2016
13FOOD-0005,Temperance Beer Company LLC,2000 DEMPSTER ST,Evanston,IL,60202,"2000 DEMPSTER ST
Evanston, IL 60202
(42.0411, -87.701496)",12/22/2016
12FOOD-0008,Kikka@Whole Foods Evanston South,1111 CHICAGO AVE,Evanston,IL,60202,"1111 CHICAGO AVE
Evanston, IL 60202
(42.037873, -87.680171)",12/28/2016
10FOOD-0035,Hillside Food Pantry,2727 CRAWFORD AVE,Evanston,IL,60201,"2727 CRAWFORD AVE
Evanston, IL 60201
(42.067155, -87.72963)",12/28/2016
16FOOD-0016,Gotta B Crepes,1601 SIMPSON ST 3,Evanston,IL,60201,"1601 SIMPSON ST 3
Evanston, IL 60201
(42.05572, -87.694275)",12/29/2016
09FOOD-0244,Food 4 Less Midwest #558,2400 MAIN ST,Evanston,IL,60202,"2400 MAIN ST
Evanston, IL 60202
(42.033665, -87.707728)",12/30/2016
09FOOD-0183,Saint Francis Hospital,355 RIDGE AVE,Evanston,IL,60202,"355 RIDGE AVE
Evanston, IL 60202
(42.023956, -87.685159)",01/13/2017
08FOOD-0181,Dunkin' Donuts & Baskin-Robbins,2658 GREEN BAY RD,Evanston,IL,60201,"2658 GREEN BAY RD
Evanston, IL 60201
(42.066219, -87.700405)",01/13/2017
14FOOD-0039,Domino's Pizza,911 FOSTER ST,Evanston,IL,60201,"911 FOSTER ST
Evanston, IL 60201
(42.053914, -87.683929)",01/17/2017
09FOOD-0039,Subway #3020,1551 SHERMAN AVE,Evanston,IL,60201,"1551 SHERMAN AVE
Evanston, IL 60201
(42.045602, -87.681896)",01/17/2017
15FOOD-0001,Burger King #1664,1740 ORRINGTON AVE,Evanston,IL,60201,"1740 ORRINGTON AVE
Evanston, IL 60201
(42.049481, -87.680201)",01/18/2017
09FOOD-0424,Dunkin' Donuts,2494 OAKTON ST,Evanston,IL,60202,"2494 OAKTON ST
Evanston, IL 60202
(42.026413, -87.708347)",01/19/2017
14FOOD-0013,Lillian's,1806 DEMPSTER ST,Evanston,IL,60202,"1806 DEMPSTER ST
Evanston, IL 60202
(42.041146, -87.6979)",01/19/2017
12FOOD-0034,Burger King #9067,1829 DEMPSTER ST,Evanston,IL,60201,"1829 DEMPSTER ST
Evanston, IL 60201
(42.041128, -87.698699)",01/20/2017
08FOOD-0175,Dunkin' Donuts Baskin-Robbins,1900 DEMPSTER ST D,Evanston,IL,60202,"1900 DEMPSTER ST D
Evanston, IL 60202
(42.041109, -87.70006)",01/20/2017
09FOOD-0202,"Barnes & Noble Booksellers, Inc.",1630 SHERMAN AVE,Evanston,IL,60201,"1630 SHERMAN AVE
Evanston, IL 60201
(42.048083, -87.681817)",01/23/2017
16FOOD-0001,Cupitol Coffee & Eatery,812 GROVE ST,Evanston,IL,60201,"812 GROVE ST
Evanston, IL 60201
(42.045561, -87.683665)",01/23/2017
10FOOD-0001,Subway #48042,2494 OAKTON ST,Evanston,IL,60202,"2494 OAKTON ST
Evanston, IL 60202
(42.026413, -87.708347)",01/27/2017
15FOOD-0021,Peeled Juice Bar,2311 CAMPUS DR,Evanston,IL,60201,"2311 CAMPUS DR
Evanston, IL 60201
(42.059063, -87.672861)",01/27/2017
09FOOD-0108,Levy Senior Center,300 DODGE AVE,Evanston,IL,60202,"300 DODGE AVE
Evanston, IL 60202
(42.023184, -87.699524)",01/27/2017
13FOOD-0014,7-Eleven #33961B,817 DAVIS ST,Evanston,IL,60201,"817 DAVIS ST
Evanston, IL 60201
(42.046984, -87.682867)",01/30/2017
13FOOD-0008,Naf Naf Grill,1629 ORRINGTON AVE,Evanston,IL,60201,"1629 ORRINGTON AVE
Evanston, IL 60201
(42.047843, -87.681025)",01/30/2017
09FOOD-0295,Dawes Elementary School,440 DODGE AVE,Evanston,IL,60202,"440 DODGE AVE
Evanston, IL 60202
(42.026496, -87.699485)",01/30/2017
