Business LIcense,Violation Date,Violation,Inspector Comments
09FOOD-0183,01/03/2017,(4) FOOD PROTECTION: Facilities to maintain product temperature.,CRITICAL VIOLATION. The buffet cooler is not holding PHF at the proper temperatures. A work order has been submitted. Do not store PHF in the cooler until it has been repaired and can hold product at 41 F or lower.
09FOOD-0183,01/03/2017,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Cottage cheese |  chicken |  ham |  sliced cucumber are being held on a buffet line at 51 F. The food was discarded.
09FOOD-0183,01/03/2017,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",The counter under the fryer of the grill line is soiled. Routinely clean all surfaces. The interior of the ice scoop holder is soiled. Routinely clean all surfaces.
09FOOD-0224,01/05/2017,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",The counter under the grill is soiled. Routinely clean all surfaces.
09FOOD-0367,01/05/2017,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Top portion of prep cooler is holding food at 45-46F. Food must be held at 41F or below. Lower temperature of prep cooler.
12FOOD-0046,01/06/2017,"(31) TOILET AND HAND WASHING FACILITIES: Number, convenient, accessible, designed, installed.",CRITICAL VIOLATION. The kitchen hand sink is blocked by equipment. The hand sinks must be accessible at all times.
12FOOD-0046,01/06/2017,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Prepared food is not date labeled. Any prepared food kept longer than 24 hours must be date labeled to ensure it is used within 7 days.
12FOOD-0046,01/06/2017,"(41) OTHER OPERATIONS: Toxic items properly stored, labeled and used.",CRITICAL VIOLATION. Cleaning chemicals are stored above bulk food containers in the basement. Store the chemicals in a designated area away form food.
12FOOD-0046,01/06/2017,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,The bottom of the fryer is soiled. Routinely clean all surfaces. Protective plastic film under the 3-compartment sink is in disrepair. Remove the plastic.
12FOOD-0046,01/06/2017,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",There is no hand soap or paper towels at the kitchen hand sink. Provide soap and paper towels to each hand sink.
12FOOD-0046,01/06/2017,"(35) INSECT, RODENT, ANIMAL CONTROL: Presence of insects/rodents; outer openings protected; no birds, turtles, other animals.",CRITICAL VIOLATION. Live roaches were observed in a large container of rice in the basement. The rice was discarded. Light is visible under the rear exit. Install a new door sweep.
12FOOD-0046,01/06/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Eggs are being stored above produce in multiple coolers. Store the eggs below ready to eat foods.
12FOOD-0046,01/06/2017,(38) LIGHTING: Provided as required; fixtures shielded.,The CFL bulbs in the basement are not covered. Install a light shield or use shatterproof bulbs.
12FOOD-0046,01/06/2017,(5) FOOD PROTECTION: Thermometers provided and conspicuous,Multiple coolers do not have thermometers. Put a thermometer in each cooler to monitor the temperature.
12FOOD-0046,01/06/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The floor near the mop sink and the front freezer is in disrepair. Repair the damage.
12FOOD-0046,01/06/2017,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION. A FSSMC is not on the premises. Have staff complete the course within 90 days.
09FOOD-0367,01/10/2017,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Items in prep cooler (such as hard boiled eggs) are stored at 45-47F. Have cooler serviced again. Food must be held at 41F or below.
16FOOD-0031,01/11/2017,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Eggs stored above vegetables in cooler. Eggs were moved to the bottom shelf. Always store eggs below ready to eat food items in order to prevent cross contamination.
16FOOD-0031,01/11/2017,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Wiping cloths found on counter tops. Provide sanitizer buckets to store wiping cloths between use.
16FOOD-0031,01/11/2017,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",Floors are soiled near grill and under hand wash sink. Clean floors.
08FOOD-0181,01/13/2017,"(41) OTHER OPERATIONS: Toxic items properly stored, labeled and used.",CRITICAL VIOLATION. Hot Shots Pest Strip is being used in kitchen. This product is not allowed in food establishments. The product was discarded.
08FOOD-0181,01/13/2017,"(25) FOOD EQUIPMENT AND UTENSILS: Single-service articles: storage, dispensing.",Plastic knives are being stored improperly. Store the knives with the handles all facing the same way.
08FOOD-0181,01/13/2017,"(29) PLUMBING: Installed, maintained",The hand sink in the prep area is leaking.  repair the leak.
14FOOD-0039,01/17/2017,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",The ceiling and wall panel in the doorway near the 3-compartment sink are in disrepair. Properly seal the panels together.
15FOOD-0016,01/17/2017,"(31) TOILET AND HAND WASHING FACILITIES: Number, convenient, accessible, designed, installed.",CRITICAL VIOLATION. Hand sink was blocked with a cutting board. Sink was immediately unblocked. Always keep the hand wash sink easily accessible.
14FOOD-0039,01/17/2017,"(32) TOILET AND HAND WASHING FACILITIES: Toilet rooms enclosed, self-closing doors. Fixtures: good repair, clean; hand cleanser, sanitary towels/hand drying devices provided; proper waste receptables; tissue.",There is no hand soap at 2 hand sinks. Maintain a supply of hand soap at every hand sink.
09FOOD-0039,01/17/2017,"(35) INSECT, RODENT, ANIMAL CONTROL: Presence of insects/rodents; outer openings protected; no birds, turtles, other animals.",CRITICAL VIOLATION. The front and rear doors of the facility are open. The doors must be kept closed to prevent the entry of pests. Install a screen door if airflow is needed.
14FOOD-0039,01/17/2017,"(41) OTHER OPERATIONS: Toxic items properly stored, labeled and used.",CRITICAL VIOLATION. Glass cleaner is being hung above take out containers. Store chemicals in a designated area away from food and utensils.
15FOOD-0016,01/17/2017,(26) FOOD EQUIPMENT AND UTENSILS: No re-use of single-service articles.,Multiple food items were stored in single use food containers. Do not reuse plastic food containers for food storage.
